0,"[[ 70.5   95.5  120.5  ...  71.5   47.    23.5 ]
 [141.   191.   241.   ... 143.    94.    47.  ]
 [120.   164.75 209.5  ... 109.5   52.5   26.25]
 ...
 [ 47.    56.5   66.   ... 126.   193.    96.5 ]
 [ 48.5   73.5   98.5  ...  93.75 136.5   68.25]
 [ 50.    90.5  131.   ...  61.5   80.    40.  ]]",4
1,"[[ 48.5   97.    64.75 ...  58.    77.    96.  ]
 [ 97.   194.   129.5  ... 116.   154.   192.  ]
 [ 67.   134.    90.   ... 120.   111.75 103.5 ]
 ...
 [ 19.    38.    76.5  ... 127.   175.5  224.  ]
 [ 58.75 117.5   96.25 ...  87.5  108.   128.5 ]
 [ 98.5  197.   116.   ...  48.    40.5   33.  ]]",2
2,"[[ 31.    62.    60.5  ...  10.5   29.5   48.5 ]
 [ 62.   124.   121.   ...  21.    59.    97.  ]
 [ 81.   162.   161.25 ...  80.   116.25 152.5 ]
 ...
 [ 85.5  171.    93.   ... 190.   165.5  141.  ]
 [ 84.5  169.   135.75 ... 202.5  192.5  182.5 ]
 [ 83.5  167.   178.5  ... 215.   219.5  224.  ]]",2
3,"[[  0.75   1.5   48.   ...  22.5   68.75 115.  ]
 [  1.5    3.    96.   ...  45.   137.5  230.  ]
 [ 33.25  66.5   89.75 ...  37.   100.   163.  ]
 ...
 [103.5  207.   113.5  ...  68.   120.   172.  ]
 [ 75.5  151.   104.25 ...  75.5   95.5  115.5 ]
 [ 47.5   95.    95.   ...  83.    71.    59.  ]]",2
4,"[[ 13.    26.    47.5  ...  69.5   38.5    7.5 ]
 [ 26.    52.    95.   ... 139.    77.    15.  ]
 [ 58.   116.   130.5  ... 133.   133.75 134.5 ]
 ...
 [ 93.   186.   155.   ... 184.   186.   188.  ]
 [ 78.75 157.5  111.   ... 184.   165.   146.  ]
 [ 64.5  129.    67.   ... 184.   144.   104.  ]]",2
5,"[[115.5  231.   130.5  ... 163.   162.   161.  ]
 [ 61.5  123.    98.25 ...  88.5  131.75 175.  ]
 [  7.5   15.    66.   ...  14.   101.5  189.  ]
 ...
 [ 75.   150.   146.   ... 141.   157.75 174.5 ]
 [ 75.5  151.   178.   ... 226.   220.5  215.  ]
 [ 37.75  75.5   89.   ... 113.   110.25 107.5 ]]",3
6,"[[ 11.    22.    71.   ...  89.   137.   185.  ]
 [ 32.5   65.    73.25 ... 134.   118.75 103.5 ]
 [ 54.   108.    75.5  ... 179.   100.5   22.  ]
 ...
 [ 56.75 113.5   84.5  ... 199.5  160.   120.5 ]
 [ 47.5   95.    58.   ... 146.   180.   214.  ]
 [ 23.75  47.5   29.   ...  73.    90.   107.  ]]",3
7,"[[ 87.5  175.   174.   ... 229.   234.   239.  ]
 [ 43.75  87.5  128.5  ... 225.   199.5  174.  ]
 [  0.     0.    83.   ... 221.   165.   109.  ]
 ...
 [ 52.   104.   130.75 ...  42.    74.25 106.5 ]
 [ 40.    80.   123.   ...  76.    73.5   71.  ]
 [ 20.    40.    61.5  ...  38.    36.75  35.5 ]]",3
8,"[[ 18.    36.    46.   ...  35.   125.   215.  ]
 [ 36.25  72.5  113.75 ...  90.   115.75 141.5 ]
 [ 54.5  109.   181.5  ... 145.   106.5   68.  ]
 ...
 [ 80.   160.   176.5  ... 119.5  140.5  161.5 ]
 [ 64.   128.   191.   ...  95.   112.   129.  ]
 [ 32.    64.    95.5  ...  47.5   56.    64.5 ]]",3
9,"[[ 91.   182.   157.   ... 129.    73.5   18.  ]
 [ 62.5  125.   138.   ...  69.5   74.75  80.  ]
 [ 34.    68.   119.   ...  10.    76.   142.  ]
 ...
 [ 44.    88.   103.75 ... 134.5  154.75 175.  ]
 [ 52.5  105.   157.   ... 105.   151.5  198.  ]
 [ 26.25  52.5   78.5  ...  52.5   75.75  99.  ]]",3
10,"[[ 56.   112.    60.5  ... 122.   120.5  119.  ]
 [112.   224.   121.   ... 244.   241.   238.  ]
 [109.   218.   176.25 ... 191.   210.   229.  ]
 ...
 [ 67.5  135.   123.5  ... 121.   122.   123.  ]
 [ 59.75 119.5  106.5  ... 133.5  112.5   91.5 ]
 [ 52.   104.    89.5  ... 146.   103.    60.  ]]",2
11,"[[ 21.5   43.    36.5  ...  22.5   38.    53.5 ]
 [ 43.    86.    73.   ...  45.    76.   107.  ]
 [ 72.75 145.5  149.5  ... 126.   101.75  77.5 ]
 ...
 [ 84.   168.   209.   ...  17.    63.   109.  ]
 [ 46.5   93.   165.5  ...  11.    56.5  102.  ]
 [  9.    18.   122.   ...   5.    50.    95.  ]]",2
12,"[[ 60.75 121.5   77.   ...  85.   101.   117.  ]
 [121.5  243.   154.   ... 170.   202.   234.  ]
 [ 71.5  143.   119.   ... 207.5  202.75 198.  ]
 ...
 [ 64.5  129.   111.   ... 252.   171.5   91.  ]
 [ 84.   168.   125.25 ... 138.5  139.75 141.  ]
 [103.5  207.   139.5  ...  25.   108.   191.  ]]",2
13,"[[ 99.5  106.25 113.   ...  62.25  66.5   33.25]
 [199.   212.5  226.   ... 124.5  133.    66.5 ]
 [211.5  200.25 189.   ... 139.5  158.5   79.25]
 ...
 [201.   165.5  130.   ... 123.5  222.   111.  ]
 [220.   152.75  85.5  ...  93.75 140.5   70.25]
 [239.   140.    41.   ...  64.    59.    29.5 ]]",4
14,"[[ 44.    67.75  91.5  ...  42.25  25.    12.5 ]
 [ 88.   135.5  183.   ...  84.5   50.    25.  ]
 [137.   117.5   98.   ... 165.5  144.5   72.25]
 ...
 [  7.    36.5   66.   ...  54.5   62.    31.  ]
 [ 61.    91.   121.   ...  85.25  55.    27.5 ]
 [115.   145.5  176.   ... 116.    48.    24.  ]]",4
15,"[[235.   187.   139.   ...  58.5   92.    46.  ]
 [187.5  150.25 113.   ...  69.5   83.5   41.75]
 [140.   113.5   87.   ...  80.5   75.    37.5 ]
 ...
 [111.5   85.    58.5  ... 176.   215.5  107.75]
 [200.   134.    68.   ... 217.5  206.   103.  ]
 [100.    67.    34.   ... 108.75 103.    51.5 ]]",1
16,"[[ 13.    67.25 121.5  ...  56.   110.5   55.25]
 [ 26.   134.5  243.   ... 112.   221.   110.5 ]
 [ 97.   144.5  192.   ...  60.5  118.5   59.25]
 ...
 [217.   161.   105.   ... 160.5   71.    35.5 ]
 [228.   190.25 152.5  ... 131.5  126.5   63.25]
 [239.   219.5  200.   ... 102.5  182.    91.  ]]",4
17,"[[164.   144.   124.   ... 104.5   29.    14.5 ]
 [172.   135.5   99.   ... 106.5   94.5   47.25]
 [180.   127.    74.   ... 108.5  160.    80.  ]
 ...
 [124.   140.25 156.5  ...  88.75  67.5   33.75]
 [151.   151.5  152.   ...  62.5  106.    53.  ]
 [ 75.5   75.75  76.   ...  31.25  53.    26.5 ]]",1
18,"[[ 42.5   85.    96.   ... 126.   106.5   87.  ]
 [ 85.   170.   192.   ... 252.   213.   174.  ]
 [ 43.25  86.5  120.5  ... 173.   130.    87.  ]
 ...
 [119.   238.   156.5  ... 171.   198.   225.  ]
 [ 61.25 122.5  121.75 ... 165.   197.75 230.5 ]
 [  3.5    7.    87.   ... 159.   197.5  236.  ]]",2
19,"[[ 80.   108.5  137.   ...  97.     3.     1.5 ]
 [131.   158.25 185.5  ...  84.75  10.5    5.25]
 [182.   208.   234.   ...  72.5   18.     9.  ]
 ...
 [ 79.5  115.   150.5  ...  97.25  31.    15.5 ]
 [  7.    50.5   94.   ... 121.5    6.     3.  ]
 [  3.5   25.25  47.   ...  60.75   3.     1.5 ]]",1
20,"[[ 73.    36.5    0.   ...  50.25  74.5   37.25]
 [146.    73.     0.   ... 100.5  149.    74.5 ]
 [109.   112.5  116.   ... 153.   159.    79.5 ]
 ...
 [ 66.   144.   222.   ... 167.5  128.    64.  ]
 [ 36.5  127.25 218.   ... 146.   110.5   55.25]
 [  7.   110.5  214.   ... 124.5   93.    46.5 ]]",4
21,"[[ 77.   152.5  228.   ...  91.5  118.    59.  ]
 [ 56.5   89.   121.5  ... 161.5  170.5   85.25]
 [ 36.    25.5   15.   ... 231.5  223.   111.5 ]
 ...
 [109.    90.    71.   ... 132.75  97.5   48.75]
 [206.   132.    58.   ... 111.5  135.    67.5 ]
 [103.    66.    29.   ...  55.75  67.5   33.75]]",1
22,"[[ 42.5   85.    97.   ...  93.   107.5  122.  ]
 [ 66.25 132.5   99.5  ... 152.   139.   126.  ]
 [ 90.   180.   102.   ... 211.   170.5  130.  ]
 ...
 [ 85.25 170.5   91.75 ... 132.5  149.5  166.5 ]
 [ 68.   136.    72.5  ... 146.   161.   176.  ]
 [ 34.    68.    36.25 ...  73.    80.5   88.  ]]",3
23,"[[113.5  227.   223.   ... 104.   152.   200.  ]
 [100.75 201.5  159.75 ... 141.5  140.25 139.  ]
 [ 88.   176.    96.5  ... 179.   128.5   78.  ]
 ...
 [ 71.5  143.   165.5  ... 144.    82.5   21.  ]
 [ 37.5   75.   115.   ... 147.    76.5    6.  ]
 [ 18.75  37.5   57.5  ...  73.5   38.25   3.  ]]",3
24,"[[126.   115.5  105.   ... 110.5   20.    10.  ]
 [146.5  136.   125.5  ... 114.25 115.    57.5 ]
 [167.   156.5  146.   ... 118.   210.   105.  ]
 ...
 [130.   128.   126.   ... 147.5  132.5   66.25]
 [241.   232.5  224.   ... 180.5  247.   123.5 ]
 [120.5  116.25 112.   ...  90.25 123.5   61.75]]",1
25,"[[ 45.25  90.5   79.25 ...  26.    15.25   4.5 ]
 [ 90.5  181.   158.5  ...  52.    30.5    9.  ]
 [ 85.   170.   164.5  ...  87.5   60.75  34.  ]
 ...
 [  9.5   19.    80.5  ... 222.   162.5  103.  ]
 [ 19.    38.   113.5  ... 163.5  137.5  111.5 ]
 [ 28.5   57.   146.5  ... 105.   112.5  120.  ]]",2
26,"[[ 53.5   43.75  34.   ...  55.75  14.5    7.25]
 [107.    87.5   68.   ... 111.5   29.    14.5 ]
 [ 74.5   86.5   98.5  ... 100.5  101.5   50.75]
 ...
 [ 14.    79.   144.   ...  69.    36.    18.  ]
 [119.5  104.    88.5  ...  83.5   24.5   12.25]
 [225.   129.    33.   ...  98.    13.     6.5 ]]",4
